mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
13,false,23,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,true,24,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,25,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,30,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,32,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,32,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,33,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,39,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,40,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,41,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,44,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,44,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,45,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,46,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,50,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,55,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,56,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,61,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,62,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,66,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,66,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,67,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13,false,68,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
