FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/OctalToBinary.java,13,13,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,14,14,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,16,16,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,17,17,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,18,18,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,16,24,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,20,20,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,22,22,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,23,23,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,26,26,0.5,1,3,0,0,
src/main/java/example/OctalToBinary.java,30,30,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,31,31,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,33,33,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,34,34,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,35,35,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,33,39,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,37,37,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,38,38,1.0,4,0,0,0,
src/main/java/example/OctalToBinary.java,41,41,1.0,4,0,0,0,
