mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
3,false,20,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
3,false,21,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
3,false,23,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
3,false,24,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
3,false,26,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
3,false,31,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,32,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,33,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,33,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,34,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,35,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,37,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,false,38,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
3,true,40,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
