FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/KMPSearch.java,6,6,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,7,7,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,11,11,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,12,12,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,16,16,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,18,18,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,19,19,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,20,20,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,21,21,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,22,22,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,20,23,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,24,24,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,25,26,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,27,27,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,28,28,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,29,29,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,24,30,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,19,40,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,32,32,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,35,35,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,36,36,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,38,38,0.0,0,1,3,1,
src/main/java/example/KMPSearch.java,41,41,0.0,0,1,1,3,
src/main/java/example/KMPSearch.java,42,42,0.0,0,1,1,3,
src/main/java/example/KMPSearch.java,47,47,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,48,48,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,49,49,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,52,52,0.4472135954999579,1,0,4,0,
src/main/java/example/KMPSearch.java,53,53,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,54,54,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,55,55,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,56,56,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,53,57,0.0,0,1,4,0,
src/main/java/example/KMPSearch.java,61,61,NaN,0,1,0,4,
src/main/java/example/KMPSearch.java,62,62,NaN,0,1,0,4,
src/main/java/example/KMPSearch.java,65,68,NaN,0,1,0,4,
src/main/java/example/KMPSearch.java,66,66,NaN,0,1,0,4,
src/main/java/example/KMPSearch.java,67,67,NaN,0,1,0,4,
