mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
29,false,12,1,1.0,3,0.8181818181818181,0.8944271909999159,4,0,1,1,
29,true,16,4,0.7272727272727273,5,0.6363636363636364,0.8164965809277261,4,0,2,0,
29,false,17,4,0.7272727272727273,5,0.6363636363636364,0.8164965809277261,4,0,2,0,
29,false,20,1,1.0,3,0.8181818181818181,0.8944271909999159,4,0,1,1,
29,false,23,1,1.0,3,0.8181818181818181,0.8944271909999159,4,0,1,1,
29,false,24,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,25,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,26,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,29,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,30,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,31,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
29,false,32,6,0.5454545454545454,12,0.0,0.0,0,4,1,1,
