FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/Calc.java,4,4,0.5163977794943222,4,0,11,0,
src/main/java/example/Calc.java,5,5,0.5163977794943222,4,0,11,0,
src/main/java/example/Calc.java,6,6,0.0,0,4,5,6,
src/main/java/example/Calc.java,8,8,0.6324555320336759,4,0,6,5,
src/main/java/example/Calc.java,9,9,0.0,0,4,3,8,
src/main/java/example/Calc.java,11,11,0.7559289460184544,4,0,3,8,
src/main/java/example/Calc.java,12,12,0.0,0,4,3,8,
src/main/java/example/Calc.java,14,14,1.0,4,0,0,11,
src/main/java/example/Calc.java,15,15,NaN,0,4,0,11,
src/main/java/example/Calc.java,17,17,0.0,0,4,11,0,
src/main/java/example/Calc.java,21,21,0.0,0,4,5,6,
src/main/java/example/Calc.java,24,24,0.0,0,4,3,8,
src/main/java/example/Calc.java,27,27,0.0,0,4,3,8,
src/main/java/example/Calc.java,30,30,0.8660254037844387,3,1,0,11,
src/main/java/example/Calc.java,31,31,0.8660254037844387,3,1,0,11,
src/main/java/example/Calc.java,33,33,NaN,0,4,0,11,
