FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/FloodFill.java,8,8,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,12,12,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,16,16,0.8164965809277261,4,0,2,0,
src/main/java/example/FloodFill.java,17,17,0.8164965809277261,4,0,2,0,
src/main/java/example/FloodFill.java,20,20,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,23,23,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,24,24,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,25,25,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,26,26,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,29,29,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,30,30,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,31,31,NaN,0,4,0,2,
src/main/java/example/FloodFill.java,32,32,NaN,0,4,0,2,
