mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
24,false,13,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,14,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,16,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,16,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,17,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,18,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,20,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,22,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,23,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,26,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,30,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,31,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,33,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,33,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,34,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,35,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,37,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,true,38,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24,false,41,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
