FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/PowerSum.java,15,15,0.8164965809277261,2,0,1,0,
src/main/java/example/PowerSum.java,16,16,0.8164965809277261,2,0,1,0,
src/main/java/example/PowerSum.java,22,22,0.8164965809277261,2,0,1,0,
src/main/java/example/PowerSum.java,23,23,0.5,1,1,1,0,
src/main/java/example/PowerSum.java,24,24,0.5,1,1,1,0,
src/main/java/example/PowerSum.java,22,25,0.8164965809277261,2,0,1,0,
src/main/java/example/PowerSum.java,27,27,0.7071067811865475,1,1,0,1,
src/main/java/example/PowerSum.java,28,28,NaN,0,2,0,1,
src/main/java/example/PowerSum.java,29,29,NaN,0,2,0,1,
src/main/java/example/PowerSum.java,27,33,0.7071067811865475,1,1,0,1,
src/main/java/example/PowerSum.java,32,32,NaN,0,2,0,1,
src/main/java/example/PowerSum.java,34,34,0.7071067811865475,1,1,0,1,
src/main/java/example/PowerSum.java,37,37,NaN,0,2,0,1,
src/main/java/example/PowerSum.java,43,43,0.7071067811865475,1,1,0,1,
